# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,    P
# 
  391,20101101,    1,     
  391,20101101,    2,     
  391,20101101,    3,     
  391,20101101,    4,     
  391,20101101,    5,     
  391,20101101,    6,     
  391,20101101,    7,     
  391,20101101,    8,     
  391,20101101,    9,     
  391,20101101,   10,     
  391,20101101,   11,     
  391,20101101,   12,     
  391,20101101,   13,     
  391,20101101,   14,     
  391,20101101,   15,     
  391,20101101,   16,     
  391,20101101,   17,     
  391,20101101,   18,     
  391,20101101,   19,     
  391,20101101,   20,     
  391,20101101,   21,     
  391,20101101,   22,     
  391,20101101,   23,     
  391,20101101,   24,     
  391,20101102,    1,     
  391,20101102,    2,     
  391,20101102,    3,     
  391,20101102,    4,     
  391,20101102,    5,     
  391,20101102,    6,     
  391,20101102,    7,     
  391,20101102,    8,     
  391,20101102,    9,     
  391,20101102,   10,     
  391,20101102,   11,     
  391,20101102,   12,     
  391,20101102,   13,     
  391,20101102,   14,     
  391,20101102,   15,     
  391,20101102,   16,     
  391,20101102,   17,     
  391,20101102,   18,     
  391,20101102,   19,     
  391,20101102,   20,     
  391,20101102,   21,     
  391,20101102,   22,     
  391,20101102,   23,     
  391,20101102,   24,     
  391,20101103,    1,     
  391,20101103,    2,     
  391,20101103,    3,     
  391,20101103,    4,     
  391,20101103,    5,     
  391,20101103,    6,     
  391,20101103,    7,     
  391,20101103,    8,     
  391,20101103,    9,     
  391,20101103,   10,     
  391,20101103,   11,     
  391,20101103,   12,     
  391,20101103,   13,     
  391,20101103,   14,     
  391,20101103,   15,     
  391,20101103,   16,     
  391,20101103,   17,     
  391,20101103,   18,     
  391,20101103,   19,     
  391,20101103,   20,     
  391,20101103,   21,     
  391,20101103,   22,     
  391,20101103,   23,     
  391,20101103,   24,     
  391,20101104,    1,     
  391,20101104,    2,     
  391,20101104,    3,     
  391,20101104,    4,     
  391,20101104,    5,     
  391,20101104,    6,     
  391,20101104,    7,     
  391,20101104,    8,     
  391,20101104,    9,     
  391,20101104,   10,     
  391,20101104,   11,     
  391,20101104,   12,     
  391,20101104,   13,     
  391,20101104,   14,     
  391,20101104,   15,     
  391,20101104,   16,     
  391,20101104,   17,     
  391,20101104,   18,     
  391,20101104,   19,     
  391,20101104,   20,     
  391,20101104,   21,     
  391,20101104,   22,     
  391,20101104,   23,     
  391,20101104,   24,     
  391,20101105,    1,     
  391,20101105,    2,     
  391,20101105,    3,     
  391,20101105,    4,     
  391,20101105,    5,     
  391,20101105,    6,     
  391,20101105,    7,     
  391,20101105,    8,     
  391,20101105,    9,     
  391,20101105,   10,     
  391,20101105,   11,     
  391,20101105,   12,     
  391,20101105,   13,     
  391,20101105,   14,     
  391,20101105,   15,     
  391,20101105,   16,     
  391,20101105,   17,     
  391,20101105,   18,     
  391,20101105,   19,     
  391,20101105,   20,     
  391,20101105,   21,     
  391,20101105,   22,     
  391,20101105,   23,     
  391,20101105,   24,     
  391,20101106,    1,     
  391,20101106,    2,     
  391,20101106,    3,     
  391,20101106,    4,     
  391,20101106,    5,     
  391,20101106,    6,     
  391,20101106,    7,     
  391,20101106,    8,     
  391,20101106,    9,     
  391,20101106,   10,     
  391,20101106,   11,     
  391,20101106,   12,     
  391,20101106,   13,     
  391,20101106,   14,     
  391,20101106,   15,     
  391,20101106,   16,     
  391,20101106,   17,     
  391,20101106,   18,     
  391,20101106,   19,     
  391,20101106,   20,     
  391,20101106,   21,     
  391,20101106,   22,     
  391,20101106,   23,     
  391,20101106,   24,     
  391,20101107,    1,     
  391,20101107,    2,     
  391,20101107,    3,     
  391,20101107,    4,     
  391,20101107,    5,     
  391,20101107,    6,     
  391,20101107,    7,     
  391,20101107,    8,     
  391,20101107,    9,     
  391,20101107,   10,     
  391,20101107,   11,     
  391,20101107,   12,     
  391,20101107,   13,     
  391,20101107,   14,     
  391,20101107,   15,     
  391,20101107,   16,     
  391,20101107,   17,     
  391,20101107,   18,     
  391,20101107,   19,     
  391,20101107,   20,     
  391,20101107,   21,     
  391,20101107,   22,     
  391,20101107,   23,     
  391,20101107,   24,     
  391,20101108,    1,     
  391,20101108,    2,     
  391,20101108,    3,     
  391,20101108,    4,     
  391,20101108,    5,     
  391,20101108,    6,     
  391,20101108,    7,     
  391,20101108,    8,     
  391,20101108,    9,     
  391,20101108,   10,     
  391,20101108,   11,     
  391,20101108,   12,     
  391,20101108,   13,     
  391,20101108,   14,     
  391,20101108,   15,     
  391,20101108,   16,     
  391,20101108,   17,     
  391,20101108,   18,     
  391,20101108,   19,     
  391,20101108,   20,     
  391,20101108,   21,     
  391,20101108,   22,     
  391,20101108,   23,     
  391,20101108,   24,     
  391,20101109,    1,     
  391,20101109,    2,     
  391,20101109,    3,     
  391,20101109,    4,     
  391,20101109,    5,     
  391,20101109,    6,     
  391,20101109,    7,     
  391,20101109,    8,     
  391,20101109,    9,     
  391,20101109,   10,     
  391,20101109,   11,     
  391,20101109,   12,     
  391,20101109,   13,     
  391,20101109,   14,     
  391,20101109,   15,     
  391,20101109,   16,     
  391,20101109,   17,     
  391,20101109,   18,     
  391,20101109,   19,     
  391,20101109,   20,     
  391,20101109,   21,     
  391,20101109,   22,     
  391,20101109,   23,     
  391,20101109,   24,     
  391,20101110,    1,     
  391,20101110,    2,     
  391,20101110,    3,     
  391,20101110,    4,     
  391,20101110,    5,     
  391,20101110,    6,     
  391,20101110,    7,     
  391,20101110,    8,     
  391,20101110,    9,     
  391,20101110,   10,     
  391,20101110,   11,     
  391,20101110,   12,     
  391,20101110,   13,     
  391,20101110,   14,     
  391,20101110,   15,     
  391,20101110,   16,     
  391,20101110,   17,     
  391,20101110,   18,     
  391,20101110,   19,     
  391,20101110,   20,     
  391,20101110,   21,     
  391,20101110,   22,     
  391,20101110,   23,     
  391,20101110,   24,     
  391,20101111,    1,     
  391,20101111,    2,     
  391,20101111,    3,     
  391,20101111,    4,     
  391,20101111,    5,     
  391,20101111,    6,     
  391,20101111,    7,     
  391,20101111,    8,     
  391,20101111,    9,     
  391,20101111,   10,     
  391,20101111,   11,     
  391,20101111,   12,     
  391,20101111,   13,     
  391,20101111,   14,     
  391,20101111,   15,     
  391,20101111,   16,     
  391,20101111,   17,     
  391,20101111,   18,     
  391,20101111,   19,     
  391,20101111,   20,     
  391,20101111,   21,     
  391,20101111,   22,     
  391,20101111,   23,     
  391,20101111,   24,     
  391,20101112,    1,     
  391,20101112,    2,     
  391,20101112,    3,     
  391,20101112,    4,     
  391,20101112,    5,     
  391,20101112,    6,     
  391,20101112,    7,     
  391,20101112,    8,     
  391,20101112,    9,     
  391,20101112,   10,     
  391,20101112,   11,     
  391,20101112,   12,     
  391,20101112,   13,     
  391,20101112,   14,     
  391,20101112,   15,     
  391,20101112,   16,     
  391,20101112,   17,     
  391,20101112,   18,     
  391,20101112,   19,     
  391,20101112,   20,     
  391,20101112,   21,     
  391,20101112,   22,     
  391,20101112,   23,     
  391,20101112,   24,     
  391,20101113,    1,     
  391,20101113,    2,     
  391,20101113,    3,     
  391,20101113,    4,     
  391,20101113,    5,     
  391,20101113,    6,     
  391,20101113,    7,     
  391,20101113,    8,     
  391,20101113,    9,     
  391,20101113,   10,     
  391,20101113,   11,     
  391,20101113,   12,     
  391,20101113,   13,     
  391,20101113,   14,     
  391,20101113,   15,     
  391,20101113,   16,     
  391,20101113,   17,     
  391,20101113,   18,     
  391,20101113,   19,     
  391,20101113,   20,     
  391,20101113,   21,     
  391,20101113,   22,     
  391,20101113,   23,     
  391,20101113,   24,     
  391,20101114,    1,     
  391,20101114,    2,     
  391,20101114,    3,     
  391,20101114,    4,     
  391,20101114,    5,     
  391,20101114,    6,     
  391,20101114,    7,     
  391,20101114,    8,     
  391,20101114,    9,     
  391,20101114,   10,     
  391,20101114,   11,     
  391,20101114,   12,     
  391,20101114,   13,     
  391,20101114,   14,     
  391,20101114,   15,     
  391,20101114,   16,     
  391,20101114,   17,     
  391,20101114,   18,     
  391,20101114,   19,     
  391,20101114,   20,     
  391,20101114,   21,     
  391,20101114,   22,     
  391,20101114,   23,     
  391,20101114,   24,     
  391,20101115,    1,     
  391,20101115,    2,     
  391,20101115,    3,     
  391,20101115,    4,     
  391,20101115,    5,     
  391,20101115,    6,     
  391,20101115,    7,     
  391,20101115,    8,     
  391,20101115,    9,     
  391,20101115,   10,     
  391,20101115,   11,     
  391,20101115,   12,     
  391,20101115,   13,     
  391,20101115,   14,     
  391,20101115,   15,     
  391,20101115,   16,     
  391,20101115,   17,     
  391,20101115,   18,     
  391,20101115,   19,     
  391,20101115,   20,     
  391,20101115,   21,     
  391,20101115,   22,     
  391,20101115,   23,     
  391,20101115,   24,     
  391,20101116,    1,     
  391,20101116,    2,     
  391,20101116,    3,     
  391,20101116,    4,     
  391,20101116,    5,     
  391,20101116,    6,     
  391,20101116,    7,     
  391,20101116,    8,     
  391,20101116,    9,     
  391,20101116,   10,     
  391,20101116,   11,     
  391,20101116,   12,     
  391,20101116,   13,     
  391,20101116,   14,     
  391,20101116,   15,     
